Year,Gebietseinheit,Land der Staatsangehörigkeit,Units,GeoCode,Value
2005,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,352
2005,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,68
2005,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,91
2005,Gifhorn,Ukraine,Anzahl,K03151,96
2005,Goslar,Ukraine,Anzahl,K03153,92
2005,Helmstedt,Ukraine,Anzahl,K03154,45
2005,Northeim,Ukraine,Anzahl,K03155,59
2005,Peine,Ukraine,Anzahl,K03157,37
2005,Wolfenbüttel,Ukraine,Anzahl,K03158,53
2005,Göttingen,Ukraine,Anzahl,K03159,528
2005,Statistische Region Braunschweig,Ukraine,Anzahl,K031,1421
2005,Region Hannover,Ukraine,Anzahl,K03241,5859
2005,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,4768
2005,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,1091
2005,Diepholz,Ukraine,Anzahl,K03251,118
2005,Hameln-Pyrmont,Ukraine,Anzahl,K03252,508
2005,Hildesheim,Ukraine,Anzahl,K03254,188
2005,Holzminden,Ukraine,Anzahl,K03255,23
2005,Nienburg (Weser),Ukraine,Anzahl,K03256,58
2005,Schaumburg,Ukraine,Anzahl,K03257,109
2005,Statistische Region Hannover,Ukraine,Anzahl,K032,6863
2005,Celle,Ukraine,Anzahl,K03351,113
2005,Cuxhaven,Ukraine,Anzahl,K03352,67
2005,Harburg,Ukraine,Anzahl,K03353,123
2005,Lüchow-Dannenberg,Ukraine,Anzahl,K03354,20
2005,Lüneburg,Ukraine,Anzahl,K03355,88
2005,Osterholz,Ukraine,Anzahl,K03356,52
2005,Rotenburg (Wümme),Ukraine,Anzahl,K03357,77
2005,Heidekreis,Ukraine,Anzahl,K03358,91
2005,Stade,Ukraine,Anzahl,K03359,109
2005,Uelzen,Ukraine,Anzahl,K03360,33
2005,Verden,Ukraine,Anzahl,K03361,64
2005,Statistische Region Lüneburg,Ukraine,Anzahl,K033,837
2005,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,270
2005,"Emden, Stadt",Ukraine,Anzahl,K03402,32
2005,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,247
2005,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,952
2005,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,54
2005,Ammerland,Ukraine,Anzahl,K03451,32
2005,Aurich,Ukraine,Anzahl,K03452,39
2005,Cloppenburg,Ukraine,Anzahl,K03453,105
2005,Emsland,Ukraine,Anzahl,K03454,122
2005,Friesland,Ukraine,Anzahl,K03455,27
2005,Grafschaft Bentheim,Ukraine,Anzahl,K03456,47
2005,Leer,Ukraine,Anzahl,K03457,62
2005,Oldenburg,Ukraine,Anzahl,K03458,38
2005,Osnabrück,Ukraine,Anzahl,K03459,260
2005,Vechta,Ukraine,Anzahl,K03460,123
2005,Wesermarsch,Ukraine,Anzahl,K03461,70
2005,Wittmund,Ukraine,Anzahl,K03462,11
2005,Statistische Region Weser-Ems,Ukraine,Anzahl,K034,2491
2005,Niedersachsen,Ukraine,Anzahl,K030,11612
2011,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,373
2011,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,71
2011,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,102
2011,Gifhorn,Ukraine,Anzahl,K03151,83
2011,Goslar,Ukraine,Anzahl,K03153,97
2011,Helmstedt,Ukraine,Anzahl,K03154,39
2011,Northeim,Ukraine,Anzahl,K03155,71
2011,Peine,Ukraine,Anzahl,K03157,54
2011,Wolfenbüttel,Ukraine,Anzahl,K03158,44
2011,Göttingen,Ukraine,Anzahl,K03159,436
2011,Statistische Region Braunschweig,Ukraine,Anzahl,K031,1370
2011,Region Hannover,Ukraine,Anzahl,K03241,4842
2011,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3859
2011,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,983
2011,Diepholz,Ukraine,Anzahl,K03251,134
2011,Hameln-Pyrmont,Ukraine,Anzahl,K03252,375
2011,Hildesheim,Ukraine,Anzahl,K03254,190
2011,Holzminden,Ukraine,Anzahl,K03255,29
2011,Nienburg (Weser),Ukraine,Anzahl,K03256,61
2011,Schaumburg,Ukraine,Anzahl,K03257,111
2011,Statistische Region Hannover,Ukraine,Anzahl,K032,5742
2011,Celle,Ukraine,Anzahl,K03351,107
2011,Cuxhaven,Ukraine,Anzahl,K03352,73
2011,Harburg,Ukraine,Anzahl,K03353,144
2011,Lüchow-Dannenberg,Ukraine,Anzahl,K03354,20
2011,Lüneburg,Ukraine,Anzahl,K03355,97
2011,Osterholz,Ukraine,Anzahl,K03356,48
2011,Rotenburg (Wümme),Ukraine,Anzahl,K03357,71
2011,Heidekreis,Ukraine,Anzahl,K03358,81
2011,Stade,Ukraine,Anzahl,K03359,105
2011,Uelzen,Ukraine,Anzahl,K03360,36
2011,Verden,Ukraine,Anzahl,K03361,62
2011,Statistische Region Lüneburg,Ukraine,Anzahl,K033,844
2011,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,220
2011,"Emden, Stadt",Ukraine,Anzahl,K03402,28
2011,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,221
2011,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,665
2011,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,36
2011,Ammerland,Ukraine,Anzahl,K03451,41
2011,Aurich,Ukraine,Anzahl,K03452,35
2011,Cloppenburg,Ukraine,Anzahl,K03453,118
2011,Emsland,Ukraine,Anzahl,K03454,154
2011,Friesland,Ukraine,Anzahl,K03455,37
2011,Grafschaft Bentheim,Ukraine,Anzahl,K03456,59
2011,Leer,Ukraine,Anzahl,K03457,81
2011,Oldenburg,Ukraine,Anzahl,K03458,40
2011,Osnabrück,Ukraine,Anzahl,K03459,264
2011,Vechta,Ukraine,Anzahl,K03460,115
2011,Wesermarsch,Ukraine,Anzahl,K03461,53
