Value,Disaggregation combinations using this value,Number of indicators
Afghanistan,1,1
Afrika insgesamt,1,1
Albanien,1,1
Amerika insgesamt,1,1
Asien insgesamt,1,1
Australien und Ozeanien,1,1
Bulgarien,1,1
EU Staaten (ab 2021 ohne GB),1,1
Europa insgesamt,1,1
Georgien,1,1
Griechenland,1,1
Indien,1,1
Insgesamt,1,1
Irak,1,1
"Iran,Islamische Republik",1,1
Kasachstan,1,1
Kosovo,1,1
Libanon,1,1
"Moldau, Republik",1,1
Nordmazedonien,1,1
Polen,1,1
Rumänien,1,1
Russische Föderation,1,1
Serbien (ab 2008),1,1
Sonstige Ziele,1,1
"Syrien, Arabische Republik",1,1
Türkei,1,1
Ukraine,1,1
