Value,Disaggregation combinations using this value,Number of indicators
Afganistan,1,1
Afrika insgesamt,1,1
Amerika insgesamt,1,1
Asien insgesamt,1,1
Australien und Ozeanien,1,1
China,9,1
EU Staaten,1,1
Europa insgesamt,1,1
Griechenland,1,1
Indien,10,2
Insgesamt,1,1
Irak,1,1
Iran Islamische Republik,1,1
Iran  Islamische Republik,9,1
Italien,1,1
Kosovo,1,1
Libanon,1,1
Pakistan,1,1
Polen,1,1
Rumänien,1,1
Russische Föderation,1,1
Serbien 2),1,1
Sonstige Ziele,1,1
Staaten insgesamt,9,1
staatenlos,1,1
Syrien  Arab. Republik,9,1
Syrien Arabische Republik,1,1
Tunesien,1,1
Türkei,10,2
Ukraine,1,1
Vereinigtes Königreich GB Nordirland,1,1
Vietnam,1,1
